SOC,PulseLength(s),Temperature(C),Voltage(V),Current(A),AvgCurrent_5s,AvgCurrent_10s,AvgCurrent_20s,AvgCurrent_50s,SOP(W)
0.799995414,10.002,-17.113,3.8412,0.0,0.0,0.0,0.0,0.0,37.952
0.699995414,10.002,-17.098,3.7543,0.0,0.0,0.0,0.0,0.0,34.323
0.599995414,10.002,-17.223,3.6813,0.0,0.0,0.0,0.0,0.0,30.112
0.500000097,10.002,-17.313,3.6251,0.0,0.0,0.0,0.0,0.0,25.413
0.400009464,10.002,-17.2,3.5725,0.0,0.0,0.0,0.0,0.0,20.359
0.299971997,10.003,-17.069,3.5298,0.0,0.0,0.0,0.0,0.0,15.367
0.199981364,10.002,-17.108,3.4866,0.0,0.0,0.0,0.0,0.0,11.309
0.150009464,10.002,-17.233,3.4637,0.0,0.0,0.0,0.0,0.0,9.5856
0.09999073,10.002,-17.161,3.4396,0.0,0.0,0.0,0.0,0.0,7.9611
0.049971997,10.003,-17.393,3.4155,0.0,0.0,0.0,0.0,0.0,6.6827
0.019998224,10.003,-17.092,3.3932,0.0,0.0,0.0,0.0,0.0,5.9306
1.000000023,10.001,11.066,4.1395,0.0,0.0,0.0,0.0,0.0,93.653
0.949998092,10.001,12.928,4.0698,0.0,0.0,0.0,0.0,0.0,93.925
0.899996162,10.002,12.792,4.0306,0.0,0.0,0.0,0.0,0.0,93.411
0.799996162,10.003,12.84,3.9106,0.0,0.0,0.0,0.0,0.0,91.681
0.699996162,10.003,12.722,3.8326,0.0,0.0,0.0,0.0,0.0,89.493
0.599984578,10.001,12.807,3.7227,0.0,0.0,0.0,0.0,0.0,86.68
0.499980717,10.001,12.785,3.6281,0.0,0.0,0.0,0.5237276190476191,0.8037960784313726,83.338
0.399976856,10.002,12.786,3.5786,0.0,0.0,0.0,0.0,0.0,79.337
0.299972995,10.002,12.802,3.5167,0.0,0.0,0.0,0.0,0.0,63.154
0.199969134,10.003,12.881,3.433,0.0,0.0,0.0,0.0,0.0,36.81
0.149967203,10.002,12.877,3.3979,0.0,0.0,0.0,0.0,0.0,26.316
0.100003884,10.002,12.579,3.3584,0.0,0.0,0.0,0.0,0.0,18.29
0.050001953,10.002,12.841,3.2806,0.0,0.0,0.0,0.0,0.0,11.663
0.020000795,10.002,12.888,3.1818,0.0,0.0,0.0,0.0,0.0,8.1414
1.0,10.003,0.62361,4.1911,0.0,0.0,0.0,0.0,0.0,99.794
0.95069791,10.002,1.7753,3.8583,-5.9983,5.998583333333333,5.9987545454545455,5.998809523809524,3.961562264150943,99.404
0.900696173,10.001,2.3268,3.8522,-6.0021,6.00138,6.001189999999999,6.00113,3.9629603773584905,99.026
0.800804084,10.003,2.5018,3.7633,-5.9996,5.999,5.99898,5.999004761904762,5.9989,97.251
0.700758836,10.002,3.2448,3.6921,-6.0002,6.0007166666666665,6.000772727272727,6.000766666666666,6.0008196078431375,95.229
0.600786686,10.001,3.2405,3.6155,-6.0004,6.000766666666667,6.000909090909091,6.000909523809524,6.0009411764705884,92.481
0.500783209,10.002,2.9739,3.5264,-6.0016,6.000733333333334,6.000719999999999,6.000819999999999,6.000835294117647,89.703
0.400779733,10.002,3.147,3.4327,-6.0002,6.00058,6.000754545454546,6.000865,6.000594000000001,86.01
0.300776258,10.001,3.1931,3.3532,-5.9987,5.99888,5.998620000000001,5.9986749999999995,5.998778431372547,81.207
0.200772781,10.002,4.0431,3.2474,-6.0013,6.000566666666667,6.000772727272727,6.000745,6.000649019607843,60.92
0.150997298,10.002,3.3451,3.199,-6.0005,6.000699999999999,6.000681818181818,6.000861904761906,4.3025735849056606,42.317
0.100734499,10.003,3.1408,2.8621,-6.0017,6.001,6.000945454545455,6.00087619047619,5.547867924528303,17.405
1.0,10.001,0.74664,4.1905,0.0,0.0,0.0,0.0,0.0,99.374
0.951268758,10.002,2.4254,3.6991,-12.001,12.000666666666666,12.000636363636364,8.870000000000001,3.849245283018869,99.152
0.901256579,10.002,2.9945,3.7104,-12.0,11.999833333333333,12.001727272727273,8.871478260869566,3.8498867924528306,98.906
0.801347085,10.002,3.9957,3.6255,-12.001,12.001333333333333,12.001545454545454,12.001666666666669,12.002019607843136,97.206
0.701343607,10.004,4.4233,3.5658,-11.999,11.999666666666668,12.0,11.999857142857142,12.000372549019607,95.322
0.601343612,10.002,4.5069,3.4859,-12.002,12.001833333333332,12.001818181818182,12.001952380952384,12.002019999999998,92.319
0.501305325,10.002,4.2512,3.39,-12.002,12.001666666666667,12.001363636363635,12.00157142857143,12.001780000000002,88.74
0.40130185,10.002,4.8899,3.2971,-12.0,11.999666666666668,11.999727272727274,11.999857142857143,12.000058823529411,84.735
0.301298375,10.002,4.6258,3.2075,-12.001,12.002,12.002090909090908,12.001904761904763,12.001999999999997,79.224
0.201294898,10.002,4.8189,3.0729,-11.998,11.9992,11.999636363636363,11.999571428571429,11.99984,58.084
0.151937112,10.002,4.1287,3.0137,-12.0,12.000166666666667,11.99990909090909,9.913,4.301867924528302,43.323
1.0,10.002,1.1356,4.1906,0.0,0.0,0.0,0.0,0.0,99.59
0.950986816,10.002,2.2157,3.7753,-8.9992,9.000266666666667,9.000354545454545,9.000671428571428,3.905954716981132,99.293
0.901002486,10.002,2.5991,3.7788,-8.9986,8.99885,8.99874,8.998664999999999,3.9050849056603774,99.002
0.801354051,10.002,3.6709,3.6914,-9.0007,9.00056,9.000281818181817,9.000166666666667,9.000270588235294,97.287
0.701367979,10.002,3.6772,3.6267,-8.9984,8.998233333333333,8.99838181818182,8.998380952380952,8.998476470588235,95.328
0.601343616,10.003,4.0702,3.5484,-9.0005,9.00026,9.00037,9.000323809523808,9.000290000000001,92.439
0.501340141,10.002,4.2862,3.4531,-9.003,9.00245,9.002139999999999,9.002223809523809,9.002241176470589,88.962
0.401336664,10.001,3.6419,3.3612,-8.9975,8.998080000000002,8.998054545454545,8.998114285714285,8.998225490196077,85.158
0.301333186,10.003,4.3018,3.2773,-9.0013,9.00032,9.000229999999998,9.000315,9.000216,80.002
0.20132971,10.003,4.2901,3.1562,-9.0008,9.000549999999999,9.000499999999999,9.000355,9.000302,58.875
0.150962487,10.003,3.9069,3.0973,-9.0025,9.002683333333334,9.00271818181818,9.002576190476189,4.416347169811321,42.563
0.101535086,10.002,3.439,2.6414,-8.9997,9.000266666666668,9.000350000000001,9.000399999999999,5.434196226415095,17.676
1.0,10.003,0.38608,4.1906,0.0,0.0,0.0,0.0,0.0,99.42
0.949998265,10.002,0.48065,4.0894,0.0,0.0,0.0,0.0,0.0,99.233
0.899996532,10.003,0.96375,4.0708,0.0,0.0,0.0,0.0,0.0,99.102
0.799993061,10.004,0.79966,4.0222,0.0,0.0,0.0,0.0,0.0,97.76
0.699993072,10.002,0.94299,3.9166,0.0,0.0,0.0,0.0,0.0,95.805
0.59998612,10.002,1.2099,3.8332,0.0,0.0,0.0,0.0,0.0,93.252
0.499982648,10.002,0.56926,3.7414,0.0,0.0,0.0,0.0,0.0,90.168
0.399979176,10.002,1.0899,3.6544,0.0,0.0,0.0,0.0,0.0,87.399
0.299975701,10.002,0.93361,3.5917,0.0,0.0,0.0,0.0,0.0,84.357
0.199972228,10.003,1.0134,3.5136,0.0,0.0,0.0,0.0,0.0,75.532
0.149987902,10.004,1.1386,3.4564,0.0,0.0,0.0,0.0,0.0,48.083
0.099968764,10.003,0.90388,3.41,0.0,0.0,0.0,0.0,0.0,23.625
1.0,10.002,1.1537,4.1909,0.0,0.0,0.0,0.0,0.0,99.792
0.950395078,10.002,2.047,3.9525,-3.0001,2.9999833333333332,3.0,3.0000142857142857,3.000035294117647,99.561
0.900393337,10.003,2.1728,3.9378,-3.0,3.0,3.0000090909090913,3.0000238095238094,3.000021568627451,99.14
0.800501242,10.002,1.904,3.8528,-2.9999,3.0,3.0,3.0000142857142853,2.9999098039215686,97.274
0.700494281,10.003,1.5094,3.7722,-3.0001,3.0000666666666667,3.00006,3.000052380952381,3.0000431372549023,95.231
0.600508204,10.001,2.1653,3.7003,-3.0001,3.00002,3.00004,3.0000349999999996,3.0000139999999997,92.676
0.500504723,10.002,2.0998,3.6081,-3.0,2.9999833333333332,3.0,3.00002,3.000026,89.673
0.400501242,10.002,1.7116,3.5161,-3.0001,3.0,3.0,3.0000100000000005,3.000038,86.646
0.300497762,10.002,2.2309,3.44,-2.9998,3.0,2.9999909090909087,3.0000142857142857,3.0000313725490195,82.66
0.200459473,10.002,1.7876,3.3508,-3.0,3.0000166666666668,3.0000454545454547,3.0000666666666667,3.0000509803921567,65.16
0.150475137,10.002,2.5852,3.309,-3.0003,3.00026,3.0002500000000003,3.0002500000000003,3.000260000000001,43.211
0.100351569,10.002,2.5025,3.1368,-3.0,3.0000799999999996,3.00005,3.000061904761905,3.0000600000000004,18.621
1.0,10.002,1.0175,4.1912,0.0,0.0,0.0,0.0,0.0,99.894
0.950113133,10.001,0.98904,4.0327,-1.0002,1.000095,1.0000930000000001,1.0001342857142856,1.000118039215686,99.704
0.900128796,10.002,1.1354,4.0157,-1.0,1.000025,1.0000481818181817,1.000082380952381,1.0000929411764705,99.224
0.800111392,10.002,1.2699,3.9424,-1.0001,1.0001499999999999,1.0001272727272728,1.0001166666666665,1.0001176470588236,97.418
0.700121835,10.002,0.66091,3.8446,-1.0002,1.0001333333333333,1.0001181818181817,1.0000995238095236,1.0000935294117648,95.418
0.600194932,10.002,0.66591,3.7739,-1.0,1.0001166666666668,1.0001272727272728,1.0001019047619049,1.0001054901960784,92.892
0.500121835,10.001,0.48023,3.6857,-1.0,1.0001166666666665,1.00011,1.000085,1.0000943137254903,89.868
0.400118354,10.003,0.73242,3.5974,-1.0002,1.00014,1.0001163636363635,1.000109,1.0000880392156861,87.006
0.300114873,10.002,1.0582,3.5267,-1.0001,1.0001,1.0000781818181819,1.0000785714285714,1.0001025490196078,83.649
0.200111393,10.003,0.77883,3.4401,-1.0002,1.0001333333333333,1.0001090909090906,1.0001033333333331,1.0001047058823531,71.244
0.150127056,10.001,1.2674,3.3933,-1.0002,1.0001666666666669,1.0001363636363634,1.0001238095238094,1.0001127450980392,44.98
0.100177528,10.002,1.6871,3.3205,-1.0002,1.0001333333333333,1.000118181818182,1.0001190476190476,1.0001250980392158,20.597
0.050088768,10.002,1.5939,2.8473,-1.0,1.0000833333333332,1.0000618181818182,1.0000942857142856,1.0001145098039215,4.1932
